ENTIDAD_RES,FECHA_DEF,defunciones,fecha_defuncion,ENTIDAD,CLAVE_ENTIDAD
2,2020-11-11,13,2020-11-11,Baja California,2
2,2020-11-12,11,2020-11-12,Baja California,2
2,2020-11-13,15,2020-11-13,Baja California,2
2,2020-11-14,10,2020-11-14,Baja California,2
2,2020-11-15,12,2020-11-15,Baja California,2
2,2020-11-16,9,2020-11-16,Baja California,2
2,2020-11-17,14,2020-11-17,Baja California,2
2,2020-11-18,16,2020-11-18,Baja California,2
2,2020-11-19,26,2020-11-19,Baja California,2
2,2020-11-20,22,2020-11-20,Baja California,2
2,2020-11-21,20,2020-11-21,Baja California,2
2,2020-11-22,28,2020-11-22,Baja California,2
2,2020-11-23,26,2020-11-23,Baja California,2
2,2020-11-24,22,2020-11-24,Baja California,2
2,2020-11-25,19,2020-11-25,Baja California,2
2,2020-11-26,35,2020-11-26,Baja California,2
2,2020-11-27,25,2020-11-27,Baja California,2
2,2020-11-28,24,2020-11-28,Baja California,2
2,2020-11-29,29,2020-11-29,Baja California,2
2,2020-11-30,31,2020-11-30,Baja California,2
2,2020-12-01,35,2020-12-01,Baja California,2
2,2020-12-02,26,2020-12-02,Baja California,2
2,2020-12-03,32,2020-12-03,Baja California,2
2,2020-12-04,31,2020-12-04,Baja California,2
2,2020-12-05,31,2020-12-05,Baja California,2
2,2020-12-06,35,2020-12-06,Baja California,2
2,2020-12-07,25,2020-12-07,Baja California,2
2,2020-12-08,41,2020-12-08,Baja California,2
2,2020-12-09,40,2020-12-09,Baja California,2
2,2020-12-10,43,2020-12-10,Baja California,2
2,2020-12-11,32,2020-12-11,Baja California,2
2,2020-12-12,28,2020-12-12,Baja California,2
2,2020-12-13,39,2020-12-13,Baja California,2
2,2020-12-14,35,2020-12-14,Baja California,2
2,2020-12-15,51,2020-12-15,Baja California,2
2,2020-12-16,34,2020-12-16,Baja California,2
